OK,15,fmt/115,"Windows Bitmap","Windows Bitmap 2.0",421228,"systems-showcase-files/ps25m_BMP_OS2_16b.BMP","None","signature"
OK,9,fmt/696,"Sibelius","Sibelius",41148,"systems-showcase-files/30 Seconds to Mars _ Up In the Air.sib","None","signature"
OK,8,fmt/58,"Microsoft Excel 4.0 Workbook (xls)","BIFF 4 Workbook/Workspace",22009,"systems-showcase-files/EXPORTS.XLW","None","signature"
OK,8,x-fmt/214,"Windows Paint","External",4928,"systems-showcase-files/VENUS.MSP","None","extension"
OK,26,fmt/61,"Microsoft Excel 97 Workbook (xls)","Microsoft Excel 97 Workbook (xls)",159232,"systems-showcase-files/SOLVSAMP.XLS","None","container"
OK,7,x-fmt/58,"Microsoft Excel Web Query","External",123,"systems-showcase-files/Multiple Stock Quotes by PC Quote, Inc.iqy","None","extension"
OK,10,fmt/338,"Interchange File Format Interleaved Bitmap","Interchange File Format Interleaved Bitmap",26978,"systems-showcase-files/VENUS.IFF","None","signature"
OK,13,x-fmt/92,"Adobe Photoshop","Adobe Photoshop (psd)",427323,"systems-showcase-files/85x11.PDD","None","signature"
OK,7,fmt/466,"CorelDraw Drawing","CorelDraw Drawing Version 2",6781,"systems-showcase-files/FROMWPG.CDR","None","signature"
KO,14,,,,158226,"systems-showcase-files/XLBASICS.CBT",,"fail"
OK,7,x-fmt/119,"Windows Metafile Image","Windows Metafile Image with Placeable File Header",2014,"systems-showcase-files/BIRD.WMF","None","signature"
OK,7,fmt/11,"Portable Network Graphics","PNG 1.0",329,"systems-showcase-files/S33N3P04.PNG","None","signature"
OK,6,fmt/277,"ESRI Arc/View Shapefile Index","ESRI Arc/View ShapeFile Index",1516,"systems-showcase-files/ne_110m_admin_0_countries.shx","None","signature"
OK,11,x-fmt/410,"Windows New Executable","Windows New Executable",57936,"systems-showcase-files/SERIFE.FON","None","signature"
OK,7,fmt/11,"Portable Network Graphics","PNG 1.0",1128,"systems-showcase-files/TBBN3P08.PNG","None","signature"
OK,9,x-fmt/367,"Truevision TGA Bitmap","Truevision TGA Bitmap 1 (BOF 2)",46146,"systems-showcase-files/FLAG_T24.TGA","None","signature"
OK,7,fmt/11,"Portable Network Graphics","PNG 1.0",1146,"systems-showcase-files/TBWN1G16.PNG","None","signature"
OK,11,fmt/44,"JPEG File Interchange Format","JFIF 1.02",64208,"systems-showcase-files/AutoCAD draw R13 jpeg - ILLCS4_1.jpg","None","signature"
OK,13,fmt/3,"Graphics Interchange Format","GIF 1987a",1106266,"systems-showcase-files/GMARBLES.GIF","None","signature"
OK,7,x-fmt/64,"Microsoft Word for Macintosh Document","Microsoft Word for Macintosh Document 4.0",3073,"systems-showcase-files/PAPERTIT.CLX","None","signature"
OK,13,fmt/116,"Windows Bitmap","Windows Bitmap 3.0",2359352,"systems-showcase-files/BMP W 24b - PSCS4.bmp","None","signature"
OK,17,x-fmt/92,"Adobe Photoshop","Adobe Photoshop (psd)",20982969,"systems-showcase-files/psCS2.psd","None","signature"
OK,32,fmt/124,"Encapsulated PostScript File Format","EPS 3.0",156514,"systems-showcase-files/PSCS6DCS1BINARYpreview.C","None","signature"
OK,8,x-fmt/111,"Plain Text File","External",5,"systems-showcase-files/ne_110m_lakes.VERSION.txt","None","extension"
OK,16,fmt/353,"Tagged Image File Format","TIFF generic (big-endian)",57970,"systems-showcase-files/G4S.TIF","None","signature"
OK,15,x-fmt/270,"OS/2 Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,15,fmt/114,"Windows Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,15,fmt/115,"Windows Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,15,fmt/116,"Windows Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,15,fmt/117,"Windows Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,15,fmt/118,"Windows Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,15,fmt/119,"Windows Bitmap","External",2842962,"systems-showcase-files/23.bmp","None","extension"
OK,7,fmt/11,"Portable Network Graphics","PNG 1.0",263,"systems-showcase-files/S32N3P04.PNG","None","signature"
OK,9,x-fmt/235,"ESRI Arc/View ShapeFile","ESRI Arc/View ShapeFile",21252,"systems-showcase-files/ne_110m_admin_0_pacific_groupings.shp","None","signature"
OK,7,fmt/544,"Macromedia FreeHand","FreeHand 7",7625,"systems-showcase-files/FReeHand7 2.FH7","None","signature"
KO,8,,,,19564,"systems-showcase-files/SPRINT.SPT",,"fail"
OK,8,x-fmt/128,"Microsoft Excel Workspace","External",328,"systems-showcase-files/SWMACRO.XLW","None","extension"
OK,8,fmt/58,"Microsoft Excel 4.0 Workbook (xls)","External",328,"systems-showcase-files/SWMACRO.XLW","None","extension"
OK,8,fmt/61,"Microsoft Excel 97 Workbook (xls)","External",328,"systems-showcase-files/SWMACRO.XLW","None","extension"
OK,8,fmt/62,"Microsoft Excel 2000-2003 Workbook (xls)","External",328,"systems-showcase-files/SWMACRO.XLW","None","extension"
OK,14,fmt/289,"WARC","WARC",13927232,"systems-showcase-files/20140904211519868.warc","None","signature"
OK,7,x-fmt/117,"Lotus 1-2-3 Worksheet","Lotus 123 Worksheet 1.0",854,"systems-showcase-files/ORDERS.WKS","None","signature"
