filename,filesize,modified,errors,namespace,id,format,version,mime,basis,warning
systems-showcase-files/HTML.XLAM,29011,2015-01-21T03:26:58+11:00,,pronom,fmt/628,Microsoft Excel Macro-Enabled Add-In,2007,application/vnd.ms-excel.addin.macroEnabled.12,"extension match xlam; container name [Content_Types].xml with byte match at 747, 66",
systems-showcase-files/HVEZDA.ZBR,9120,2015-01-21T00:50:40+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/IAH-20080430204825-00000-blackbook.warc,11231015,2015-01-21T00:50:38+11:00,,pronom,fmt/289,WARC,,,"extension match warc; byte match at 0, 251",
systems-showcase-files/ICESTORM.PCD,1121280,2015-01-21T00:50:30+11:00,,pronom,fmt/211,Kodak Photo CD Image,,,"extension match pcd; byte match at 0, 2051",
systems-showcase-files/IFFPS55.iff,754344,2015-01-21T00:50:26+11:00,,pronom,fmt/338,Interchange File Format Interleaved Bitmap,,,"extension match iff; byte match at 0, 16",
systems-showcase-files/IFFPSCS4.iff,1527378,2015-01-21T00:50:24+11:00,,pronom,fmt/338,Interchange File Format Interleaved Bitmap,,,"extension match iff; byte match at 0, 16",
systems-showcase-files/IFFPSCS6.iff,7906,2015-01-21T00:50:22+11:00,,pronom,fmt/338,Interchange File Format Interleaved Bitmap,,,"extension match iff; byte match at 0, 16",
systems-showcase-files/IGESD.IGS,2870,2015-01-21T00:50:20+11:00,,pronom,x-fmt/158,Initial Graphics Exchange Specification (IGES),5.x,model/iges,"extension match igs; byte match at 72, 90",
systems-showcase-files/IMAGE.PH,787756,2015-01-21T03:19:10+11:00,,pronom,fmt/341,Macintosh PICT Image,2.0,image/x-pict,"byte match at 522, 6",extension mismatch
systems-showcase-files/INDENT.RFT,2700,2015-01-21T03:19:00+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/285, x-fmt/444"
systems-showcase-files/INDENTS.DOC,10240,2015-01-21T03:18:58+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/42, x-fmt/43, x-fmt/44, x-fmt/131, x-fmt/273, x-fmt/274, x-fmt/275, x-fmt/276, x-fmt/329, fmt/39, fmt/40, fmt/37, fmt/38, fmt/473, fmt/609, fmt/754, fmt/892"
systems-showcase-files/INDENTS.WPF,6305,2015-01-21T03:18:56+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/INDENTS.WPS,2461,2015-01-21T03:18:54+11:00,,pronom,fmt/163,Microsoft Works Word Processor 1-3 for DOS and 2 for Windows,,,"extension match wps; byte match at 0, 22",
systems-showcase-files/INDEX.HTM,1166,2015-01-21T03:18:52+11:00,,pronom,fmt/96,Hypertext Markup Language,,text/html,extension match htm; byte match at [[[0 5]] [[1158 7]]] (signature 1/2),
systems-showcase-files/INTER.RND,896,2015-01-21T03:18:40+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/INTRO.XLM,4453,2015-01-21T03:18:38+11:00,,pronom,fmt/556,Microsoft Excel Macro,3.0,application/vnd.ms-excel,"extension match xlm; byte match at 0, 8",
systems-showcase-files/INTRO.XLS,3233,2015-01-21T03:18:36+11:00,,pronom,fmt/56,Microsoft Excel 3.0 Worksheet (xls),3,application/vnd.ms-excel,"extension match xls; byte match at 0, 8",
systems-showcase-files/INTRO.XLW,458,2015-01-21T03:18:34+11:00,,pronom,x-fmt/128,Microsoft Excel Workspace,,,extension match xlw,match on extension only
systems-showcase-files/INVDB.XLS,16384,2015-01-21T03:18:26+11:00,,pronom,fmt/59,Microsoft Excel 5.0/95 Workbook (xls),5/95,application/vnd.ms-excel,"extension match xls; container name Book with byte match at 0, 8",
systems-showcase-files/INVDB.wk1,486,2015-01-21T03:18:30+11:00,,pronom,x-fmt/114,Lotus 1-2-3 Worksheet,2.0,application/vnd.lotus-1-2-3,"extension match wk1; byte match at 0, 10",
systems-showcase-files/INVDB.wks,486,2015-01-21T03:18:30+11:00,,pronom,x-fmt/117,Lotus 1-2-3 Worksheet,1.0,application/vnd.lotus-1-2-3,"extension match wks; byte match at 0, 6",
systems-showcase-files/INVENT.WDB,1420,2015-01-21T03:18:24+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are fmt/169, fmt/170, fmt/171, fmt/219, fmt/222, fmt/223, fmt/224, fmt/225, fmt/226, fmt/246, fmt/249, fmt/252, fmt/256, fmt/259, fmt/260, fmt/261, fmt/268, fmt/269"
systems-showcase-files/INVOICE.XLT,303616,2015-01-21T03:18:22+11:00,,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"container name Workbook with byte match at 0, 8 (signature 1/2)",extension mismatch
systems-showcase-files/ISLAND.TGA,481941,2015-01-21T03:18:08+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/ISLAND4.TGA,649235,2015-01-21T03:18:06+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/ITALIC.DOC,2048,2015-01-21T03:18:04+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/42, x-fmt/43, x-fmt/44, x-fmt/131, x-fmt/273, x-fmt/274, x-fmt/275, x-fmt/276, x-fmt/329, fmt/39, fmt/40, fmt/37, fmt/38, fmt/473, fmt/609, fmt/754, fmt/892"
systems-showcase-files/Icaddwg1.dxf,28716,2015-01-21T00:50:30+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are fmt/64, fmt/65, fmt/66, fmt/67, fmt/68, fmt/69, fmt/70, fmt/71, fmt/72, fmt/73, fmt/74, fmt/75, fmt/76, fmt/77, fmt/78, fmt/79, fmt/80, fmt/81, fmt/82, fmt/83, fmt/84, fmt/85, fmt/63, fmt/433, fmt/435, fmt/532"
systems-showcase-files/Ie.ppm,196624,2015-01-21T00:50:28+11:00,,pronom,fmt/408,Portable Pixel Map - Binary,,,"extension match ppm; byte match at 0, 9 (signature 1/2)",
systems-showcase-files/Illustrator - ILLCS4.ai,2912020,2015-01-21T00:50:20+11:00,,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[[0 8]] [[2912014 5]]],extension mismatch
systems-showcase-files/Illustrator EPS - ILLCS4.eps,4603494,2015-01-21T00:50:16+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,"extension match eps; byte match at 0, 24 (signature 3/3)",
systems-showcase-files/Illustrator EPS - ILLCS6.eps,64109638,2015-01-21T00:50:12+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,extension match eps; byte match at [[[0 4]] [[32 24]]] (signature 2/3),
systems-showcase-files/Illustrator EPS 10 - ILLCS6.eps,64055858,2015-01-21T00:49:30+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,extension match eps; byte match at [[[0 4]] [[32 24]]] (signature 2/3),
systems-showcase-files/Illustrator EPS 3 - ILLCS6.eps,2859790,2015-01-21T00:48:42+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,extension match eps; byte match at [[[0 4]] [[32 24]]] (signature 2/3),
