"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"39","2","file:/home/richard/local/bench/ipres/systems-showcase-files/GRN.MAC","/home/richard/local/bench/ipres/systems-showcase-files/GRN.MAC","GRN.MAC","Extension","Done","2183","File","mac","2015-01-21T00:52:20","false",,"1","x-fmt/161","","MacPaint Image",""
"40","2","file:/home/richard/local/bench/ipres/systems-showcase-files/LEAR.PDF","/home/richard/local/bench/ipres/systems-showcase-files/LEAR.PDF","LEAR.PDF","Signature","Done","290205","File","pdf","2015-01-21T03:16:56","false",,"1","fmt/15","application/pdf","Acrobat PDF 1.1 - Portable Document Format","1.1"
"41","2","file:/home/richard/local/bench/ipres/systems-showcase-files/KLAUS.ZBR","/home/richard/local/bench/ipres/systems-showcase-files/KLAUS.ZBR","KLAUS.ZBR",,"Done","23295","File","zbr","2015-01-21T03:17:22","false",,"0",,"","",""
"42","2","file:/home/richard/local/bench/ipres/systems-showcase-files/SMALL.XWD","/home/richard/local/bench/ipres/systems-showcase-files/SMALL.XWD","SMALL.XWD","Signature","Done","26765","File","xwd","2015-01-21T02:40:30","false",,"1","fmt/401","","X-Windows Screen Dump","X11"
"43","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ROUND1.MPG","/home/richard/local/bench/ipres/systems-showcase-files/ROUND1.MPG","ROUND1.MPG","Signature","Done","439885","File","mpg","2015-01-21T02:47:00","false",,"1","fmt/649","","MPEG-1 Elementary Stream",""
"44","2","file:/home/richard/local/bench/ipres/systems-showcase-files/RAY.BMP","/home/richard/local/bench/ipres/systems-showcase-files/RAY.BMP","RAY.BMP","Signature","Done","1440054","File","bmp","2015-01-21T02:48:42","false",,"1","fmt/116","image/bmp","Windows Bitmap","3.0"
"45","2","file:/home/richard/local/bench/ipres/systems-showcase-files/DRUIDS.TGA","/home/richard/local/bench/ipres/systems-showcase-files/DRUIDS.TGA","DRUIDS.TGA","Signature","Done","724215","File","tga","2015-01-21T01:03:02","false",,"1","x-fmt/367","","Truevision TGA Bitmap","1.0"
"46","2","file:/home/richard/local/bench/ipres/systems-showcase-files/flash9%20-%20ILLCS6.swf","/home/richard/local/bench/ipres/systems-showcase-files/flash9 - ILLCS6.swf","flash9 - ILLCS6.swf","Signature","Done","92","File","swf","2015-01-21T00:56:10","false",,"1","fmt/506","application/x-shockwave-flash","Adobe Flash","9"
"47","2","file:/home/richard/local/bench/ipres/systems-showcase-files/CW4_TEST.CHI","/home/richard/local/bench/ipres/systems-showcase-files/CW4_TEST.CHI","CW4_TEST.CHI","Signature","Done","955","File","chi","2015-01-21T01:07:04","false",,"1","fmt/300","","ChiWriter Document","4"
"48","2","file:/home/richard/local/bench/ipres/systems-showcase-files/wire_006134058%20-%20Default%20Texture.psd","/home/richard/local/bench/ipres/systems-showcase-files/wire_006134058 - Default Texture.psd","wire_006134058 - Default Texture.psd","Signature","Done","44554","File","psd","2015-01-21T02:25:26","false",,"1","x-fmt/92","image/vnd.adobe.photoshop","Adobe Photoshop",""
"49","2","file:/home/richard/local/bench/ipres/systems-showcase-files/VENUS.EPS","/home/richard/local/bench/ipres/systems-showcase-files/VENUS.EPS","VENUS.EPS","Signature","Done","90754","File","eps","2015-01-21T02:30:26","false",,"1","fmt/122","application/postscript","Encapsulated PostScript File Format","1.2"
"50","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ps2e.psd","/home/richard/local/bench/ipres/systems-showcase-files/ps2e.psd","ps2e.psd",,"Done","30000","File","psd","2015-01-21T02:55:18","false",,"0",,"","",""
"51","2","file:/home/richard/local/bench/ipres/systems-showcase-files/Portable%20Bitmap,%20greyscale%2016b%20-%20PSCS4.pbm","/home/richard/local/bench/ipres/systems-showcase-files/Portable Bitmap, greyscale 16b - PSCS4.pbm","Portable Bitmap, greyscale 16b - PSCS4.pbm","Signature","Done","1572882","File","pbm","2015-01-21T02:56:42","true",,"1","fmt/406","","Portable Grey Map - Binary",""
"52","2","file:/home/richard/local/bench/ipres/systems-showcase-files/duck.dae","/home/richard/local/bench/ipres/systems-showcase-files/duck.dae","duck.dae","Signature","Done","284554","File","dae","2015-01-21T01:02:58","true",,"1","fmt/101","application/xml, text/xml","Extensible Markup Language","1.0"
"53","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ps2version.psd","/home/richard/local/bench/ipres/systems-showcase-files/ps2version.psd","ps2version.psd",,"Done","24300","File","psd","2015-01-21T02:55:10","false",,"0",,"","",""
"54","2","file:/home/richard/local/bench/ipres/systems-showcase-files/YEL.BMP","/home/richard/local/bench/ipres/systems-showcase-files/YEL.BMP","YEL.BMP","Signature","Done","86454","File","bmp","2015-01-21T02:23:04","false",,"1","fmt/116","image/bmp","Windows Bitmap","3.0"
"55","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PICTURES.DBF","/home/richard/local/bench/ipres/systems-showcase-files/PICTURES.DBF","PICTURES.DBF","Signature","Done","275","File","dbf","2015-01-21T02:57:30","false",,"1","x-fmt/10","application/dbase","dBASE Database","IV"
"56","2","file:/home/richard/local/bench/ipres/systems-showcase-files/CCITT_1.TIF","/home/richard/local/bench/ipres/systems-showcase-files/CCITT_1.TIF","CCITT_1.TIF","Signature","Done","18382","File","tif","2015-01-21T01:10:32","false",,"1","fmt/353","image/tiff","Tagged Image File Format",""
"57","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_admin_1_states_provinces_shp.sbx","/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_admin_1_states_provinces_shp.sbx","ne_110m_admin_1_states_provinces_shp.sbx","Signature","Done","148","File","sbx","2015-01-21T03:03:58","false",,"1","fmt/319","","ESRI Spatial Index File",""
"58","2","file:/home/richard/local/bench/ipres/systems-showcase-files/All%20Font%20Sizes.wpd","/home/richard/local/bench/ipres/systems-showcase-files/All Font Sizes.wpd","All Font Sizes.wpd","Signature","Done","4101","File","wpd","2015-01-21T01:24:18","false",,"1","x-fmt/44","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","6.0"
"59","2","file:/home/richard/local/bench/ipres/systems-showcase-files/80.XLS","/home/richard/local/bench/ipres/systems-showcase-files/80.XLS","80.XLS","Container","Done","118784","File","xls","2015-01-21T01:33:16","false",,"1","fmt/61","application/vnd.ms-excel","Microsoft Excel 97 Workbook (xls)","8"
"60","2","file:/home/richard/local/bench/ipres/systems-showcase-files/JAZZ.BMP","/home/richard/local/bench/ipres/systems-showcase-files/JAZZ.BMP","JAZZ.BMP","Signature","Done","38518","File","bmp","2015-01-21T03:17:56","false",,"1","fmt/116","image/bmp","Windows Bitmap","3.0"
"61","2","file:/home/richard/local/bench/ipres/systems-showcase-files/NAVYDIF1","/home/richard/local/bench/ipres/systems-showcase-files/NAVYDIF1","NAVYDIF1",,"Done","2383","File","","2015-01-21T03:10:44","false",,"0",,"","",""
